query_norm,q_count,ctr,mrr
gamefowl,41,0.6097560975609756,0.2183333333333333
surgical treatment for spondylosis,20,0.65,0.041195494156635815
system of a down music video codes,22,0.9545454545454546,0.4206916099773243
ign,115,0.10434782608695652,0.9583333333333334
weather forecast myrtle beach sc,22,1.0,0.7613636363636364
jobs,24,0.2916666666666667,0.5357142857142857
caught naked pics,22,1.0,0.06320560011148907
aa com,43,0.06976744186046512,1.0
gray warmblood,35,0.0,
speedos bicycle,28,0.0,
black arabian stallion,48,0.0,
nine inch nails,26,0.038461538461538464,1.0
mys,24,0.0,
trent reznor,90,0.0,
www neurography com,35,0.3142857142857143,0.6120523415977962
flower edwards,38,0.15789473684210525,0.08586605380480776
horoscope,41,0.0,
slingo,29,0.034482758620689655,0.1
bury lancashire,23,0.8695652173913043,0.026117318587060533
vietnamese americans,30,0.0,
photo for a passport in ny,23,0.17391304347826086,0.008206850522107368
r lee ermy photos,28,0.10714285714285714,0.3611111111111111
www google,30,0.23333333333333334,1.0
ny lotto,20,0.95,0.7122807017543858
free coloring pages,20,1.0,0.08833321064900013
calvin coolidge,35,0.14285714285714285,0.4666666666666666
catfighting,42,1.0,0.07332657531338475
www talksexwithsue com,23,0.6521739130434783,0.1872572189614823
web md,34,0.23529411764705882,0.7760416666666667
searchlights,21,0.7619047619047619,0.19485157203907202
african american festivals,33,0.8787878787878788,0.20451100090258836
taiwan news,54,0.8888888888888888,0.2598710317460317
naked girls,32,0.875,0.20407487810533667
whitworth college students,36,0.1388888888888889,0.008850847398781277
camel toe,20,0.9,0.1881563990770974
jaime camil,27,0.6666666666666666,0.1451881771391139
www caremark com,24,1.0,0.5006944444444444
radio fm veracruz veracruz,21,0.9523809523809523,0.6824999999999999
50cent,21,0.9523809523809523,0.2726475607725608
om,23,0.0,
mapquest,450,0.6911111111111111,0.9360396570203643
gay male escorts,42,1.0,0.2039273675159345
huntington online banking,20,0.85,0.9411764705882353
christie repasy,21,0.9523809523809523,0.09147301066998167
classy hairstyles,21,1.0,0.14058158276888086
my yahoo,28,0.9285714285714286,0.6891025641025641
cessna bird dog,38,1.0,0.08295340483176576
radio veracruz,204,0.9166666666666666,0.33716757099110034
smileycentral,33,0.45454545454545453,0.8688888888888889
underground railway massachusetts,37,0.9459459459459459,0.08392164448958
marilyn monroe,57,0.0,
com,75,0.013333333333333334,1.0
student reviews for houston baptist university,39,0.2564102564102564,0.17385929803234532
spice girls,76,0.0,
elizabeth berkley,28,0.0,
phytolagen eye gel,48,0.0,
san diego jobs,20,0.95,0.24320577083734973
orientbeach com,32,1.0,0.5743561226784911
wachovia,43,0.9534883720930233,0.9790940766550522
africa kenya newspapers,57,0.9649122807017544,0.19072150072150074
gay water sports,24,0.7916666666666666,0.3388135614798971
easter decoration,27,0.7777777777777778,0.2792860138098233
bbcvietnamese com,33,0.9696969696969697,0.984375
men in speedos,25,0.0,
toby keith,56,0.05357142857142857,0.3333333333333333
speedo men,84,0.0,
country music,21,0.38095238095238093,0.2876103155029689
happy easter,31,0.0,
hotmail com,89,0.5280898876404494,0.8918439716312057
bgnw,30,1.0,0.9166666666666666
xxx,29,0.9310344827586207,0.17370370370370372
gullboy,23,0.5217391304347826,0.08309315608411487
sex positions,20,0.85,0.24051269376528892
naked pregnant women,32,1.0,0.10670278837822962
strippers sight com,24,0.6666666666666666,0.20632440476190478
triad pt cruiser club,24,0.041666666666666664,1.0
classiccloseouts,32,0.6875,1.0
free greeting cards,21,0.7142857142857143,0.5035714285714286
sebastian rulli,34,0.11764705882352941,0.4875
miaa,24,0.8333333333333334,1.0
myspa,22,0.0,
cardiovascular disease,24,0.041666666666666664,0.1111111111111111
mare and foal,20,0.0,
1957 buick special for sale,25,0.96,0.245441901508078
www paula white,20,0.7,0.02974334966543783
camper trailers for motorcycles,24,1.0,0.1575150248239119
lowes,64,0.75,0.9895833333333334
milk thistle,24,0.9583333333333334,0.14447879291329144
nhl,40,0.85,0.9411764705882353
donbest,540,0.9555555555555556,0.997093023255814
jimfeist,273,0.9413919413919414,1.0
iwon,193,0.9533678756476683,0.9660326086956522
nude girls,70,0.9714285714285714,0.08059666844941554
new york city,40,0.85,0.8897058823529411
britney spears,182,0.02197802197802198,0.20673076923076922
wade rubenstein,30,0.6333333333333333,0.09198378940441004
cartoon network,54,0.5925925925925926,0.6951636904761904
wet place com,25,0.4,0.95
paypal,61,0.21311475409836064,1.0
speedo water polo,30,0.0,
expedia,39,0.3333333333333333,0.9487179487179487
sears,27,0.2962962962962963,0.9166666666666666
african ivory jewellery,37,0.8108108108108109,0.20607817716736834
www myspace,121,0.7520661157024794,0.9850863422291993
nalgas calientes,50,0.92,0.39231366459627326
shemale com,56,0.7678571428571429,0.21282196376164766
arabian stallion,81,0.0,
amazon com,27,0.3333333333333333,1.0
lightspeed girls barely 19,24,0.9166666666666666,0.9090909090909091
continental airlines,23,0.9565217391304348,0.9393939393939394
wtam cleveland,47,0.9574468085106383,0.9507407407407407
www aol e cards com,20,0.0,
https,28,0.0,
metal swing sets,20,0.85,0.16223228837095877
anna nicole smith,22,0.2727272727272727,0.1624024878768712
mongolia tours,31,0.8387096774193549,0.3677937447168216
jumping arabian,34,0.0,
jonbenet ramsey,24,0.0,
george lynch,29,0.0,
horrorpops,32,0.0,
www smithbarney com,28,0.6428571428571429,0.9166666666666666
tiffany teen hardcore pics,29,1.0,0.13445473103727568
animated trumpet,24,0.0,
epic cams,21,0.9523809523809523,0.8088095238095239
lamborghini black,22,0.0,
www cocks com,43,0.627906976744186,0.2759743818782346
my space,414,0.9057971014492754,0.9803111111111111
free tiny tit teen girls,20,0.95,0.21741683475964865
yahoo com,274,0.6021897810218978,0.8887957920215983
diagnosing unilateral facet dislocation,25,0.84,0.07406998798547798
solomon s seal and ligaments,20,0.95,0.09725716421642872
about whitworth college,110,0.5272727272727272,0.029540655079817183
what whitworth students say about whitworth,27,0.48148148148148145,0.014509560328861996
club traci lords,24,0.5833333333333334,0.010685336395826523
free kinky pics,73,0.9315068493150684,0.41534197012138185
birdsnways,26,0.9615384615384616,0.66
worship services in hospital,39,0.8205128205128205,0.1856694071949006
