query_norm,q_count,ctr,mrr
kffl,43,1.0,1.0
asrt,35,1.0,1.0
siouxcityjournal com,26,1.0,1.0
bank of america online banking,24,1.0,1.0
yahoo groups,24,1.0,1.0
franchise tax board,22,1.0,0.9772727272727273
nys lottery,26,1.0,0.9743589743589743
intracoastal realty,22,1.0,0.9696969696969696
bgnw,30,1.0,0.9166666666666666
thong bunz,37,1.0,0.9040540540540541
nylottery org,24,1.0,0.8708333333333332
weather forecast myrtle beach sc,22,1.0,0.7613636363636364
rotten com,31,1.0,0.6645545314900154
orientbeach com,32,1.0,0.574356122678491
cnet,26,1.0,0.5038461538461538
www caremark com,24,1.0,0.5006944444444444
mortal kombt,31,1.0,0.4035714285714285
st ursula school,27,1.0,0.36111111111111105
minnie party supplies,20,1.0,0.31643814518814517
seaward products,21,1.0,0.31029240169277766
milf com,20,1.0,0.27671502237258544
catfighting galleries,20,1.0,0.2523999559951572
pablo neruda,45,1.0,0.2503703703703704
diaper wreath,25,1.0,0.21947150802413962
gay male escorts,42,1.0,0.2039273675159345
nalgas culos calientes,21,1.0,0.19545694346114514
optical illusions,29,1.0,0.19148024842670944
pasta con sarde,22,1.0,0.1789510947194595
erotic spanking,38,1.0,0.17871551778426253
old testament time line,24,1.0,0.17851319343901903
el tovar hotel photo,26,1.0,0.16824198119564768
camper trailers for motorcycles,24,1.0,0.1575150248239119
fairy collectibles,20,1.0,0.15071907659294548
knitting yarn over instructions,23,1.0,0.14727877464117067
classy hairstyles,21,1.0,0.14058158276888086
free wallpaper,26,1.0,0.13951778720194435
tiffany teen hardcore pics,29,1.0,0.13445473103727568
tuareg bags,44,1.0,0.12453728804043962
proxy,21,1.0,0.12316292437993749
sophie b hawkins video codes,30,1.0,0.12158804835943952
butterfly party,23,1.0,0.1136001814323508
naked pregnant women,32,1.0,0.10670278837822961
african carved combs,36,1.0,0.10402464827286834
my first sex teacher,20,1.0,0.10277165474586629
free coloring pages,20,1.0,0.08833321064900011
mosrite of california,22,1.0,0.08485662449375217
cessna bird dog,38,1.0,0.08295340483176579
cock com,24,1.0,0.07364475785594983
catfighting,42,1.0,0.07332657531338478
